Sms,Label
कोड: 9223 (इस कोड को किसी के साथ साझा न करें),0
Use [64547008] as One Time Password to login to your Swiggy Account pgLJ0BdTNB3,0
Use OTP 459679 to log into your Swiggy account. Do not share the OTP or your number with anyone including Swiggy personnel!,0
Use OTP 459679 to log into your Swiggy account. Do not share the OTP or your number with anyone including Swiggy personnel!,0
"Dear Customer, registration for Google Pay has started for ICICI Bank. If it was not you, report to your bank. Do not share card details/OTP/CVV with anyone.",0
"Your Google verification code is 837550

Message ID: f6f01vO3FNp",0
"You have initiated the registration for UPI payments on PhonePe. If this is not you, please report it to your bank immediately to avoid any loss of money.",0
"You have initiated the registration for UPI payments on PhonePe. If this is not you, please report it to your bank immediately to avoid any loss of money.",0
Dear mohd shahnwaz. You have successfully registered your PhonePe account on this device.,0
84897 is your one time password to proceed on PhonePe. It is valid for 10 minutes. Do not share your OTP with anyone. XC1xEZ+TDtj,0
<#> 22419 is your one time password to proceed on PhonePe. It is valid for 10 minutes. Do not share your OTP with anyone. mye1HyUG8DA,0
"Paytm login detected from a new device at 03:14 PM, 06 May. Not you? To logout from all devices, click: https://ap.p-y.tm/ys3MtK or report fraud @1800120130",0
"Paytm For Business login requested from a new device at 03:13 PM, 06 May. Not you? Safeguard your paytm account, click: https://paytm.me/rl-o86b",0
<#>Paytm never calls for OTP. Do not share it with anyone. Paytm For Business Login OTP: 758569. Not You? Report https://ap.p-y.tm/LNbiqU  ID: cIWSokveyWr,0
"<#>7252 is your Mitra verification code. Please do not share this with anyone.

jOvA6R6o+OI",0
<#> 4835 is your Disney+ Hotstar verification code. Enjoy watching! /wAX/OsgZgE,0
"Biometric authentication is enabled for Kotak Bank Mobile Banking App on CPH2139 for CRN xx8418. To report fraud, click kotak.com/fraud",0
"Alert! After successful mobile no. verification, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT FRAUD on kotak.com/fraud",0
<#> 7456 is your verification code for Dainik Bhaskar. 7Dr1ygzoY/w - Bhaskar Group,0
#   Onetime password is : 995930 This OTP is valid for 15 minutes only & usable only once on Groww. T & C apply. hkHMMiIZPc7,0
<#> 1626 is the OTP for your Airtel Thanks app login. Valid for 15 mins. Please do not share this with anyone N9BWuqauU1y,0
[OPPO]813353 is your verification code. It expires in 5 minutes. Don't share it with anyone.,0
"Your WhatsApp code: 957-128

You can also tap on this link to verify your phone: v.whatsapp.com/957128

Don't share this code with others",0
G-505823 is your Google verification code.,0
"<#>4277 is your Mitra verification code. Please do not share this with anyone.

jOvA6R6o+OI",0
"<#>5313 is your Mitra verification code. Please do not share this with anyone.

jOvA6R6o+OI",0
"<#>2918 is your Mitra verification code. Please do not share this with anyone.

jOvA6R6o+OI",0
"<#>1813 is your Mitra verification code. Please do not share this with anyone.

jOvA6R6o+OI",0
"Dear 62803681XX,
PUN vs GUJ, T20 Match is live on My11circle.
Prize Pool - 4,36,00,000 (4.36Crores)
Entry Fee - 49
Click - http://1kx.in/OI8z3rWi9dM",0
"Dear Customer, your 200,000 Rs loan has been disbursed. Click on the link to confirm withdrawal https://bit.ly/37VyaCe (ANKIAR)",1
Celebrate Eid with us! Get 40% Off upto Rs 140/- on orders above Rs 249 from Behrouz Biryani  ; only on Vi APP ! To avail this exlcusive offer on Vi APP - Click now - https://bit.ly/ViReward,0
Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.299.00 and credited to euronetgpay.pay@icici (UPI Ref no 212355781017).-Indian Bank,1
"Stay fit, save big.
Price drop on our top smartwatches!

Starting @Rs.1,999/-

Grab now: bit.ly/3LwIZZQ

Team boAt",0
"Dear Saroj, You are eligible and may avail precaution dose at private vaccination center only after 21-04-2022. Please visit cowin.gov.in  CoWIN",0
"Hi

Receive Rs.1500*/- Bonus


GUJARAT  v/s  PUNJAB  - T20 MATCH - Today!


Download MY11CIRCLE App


Win Real Cash

Click here: crckt11.in/J432-17656D046",0
"90% daily data quota used as on 03-May-22 00:44.
Jio Number : 6280368198
For tips on how to manage data quota effectively, click https://youtu.be/ZFUDydctV78
If you do not have any other data plan, your internet speed will be reduced on consumption of 1.50 GB.
To continue enjoying high speed internet, click https://www.jio.com/dl/data_voucher and recharge.
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",0
"03-May-22 00:44 बजे तक 90% दैनिक डेटा कोटा खर्च हो चुका है ।
जियो नंबर : 6280368198
प्लान के अनुसार कुल दैनिक डेटा : 1.50 GB
अपने डेटा कोटा को और भी बेहतर तरीक़े से मैनेज करने के लिए क्लिक करें - https://youtu.be/hnMRgnS6rJE
यदि आपके पास कोई अन्य डेटा प्लान नहीं है तो आपकी इंटरनेट स्पीड 1.50 GB के खर्च होते ही घटा दी जाएगी ।
हाई-स्पीड इंटरनेट का आनंद लेना जारी रखने के लिए https://www.jio.com/dl/data_voucher पर क्लिक करके रिचार्ज करें ।
वर्तमान बैलेंस, वैधता, प्लान विवरण और आकर्षक रीचार्ज प्लान के बारे में जानने के लिए 1991 डायल करें ।",0
Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.100.00 and credited to paytmqr281005050101igsemgaff7py@paytm (UPI Ref no 212248850682).-Indian Bank,1
Your VPA 6280368198@paytm linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.20.00 and credited to Q80761355@ybl (UPI Ref no 212285142987).-Indian Bank,1
"50% Daily Data quota used as on 02-May-22 20:15.
Jio Number : 6280368198
Daily Data quota as per plan : 1.50 GB
To know more on how to manage your account through MyJio app, click https://youtu.be/tchuJvIv_9I
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",0
<#> Shadowfax Id is 153915699 6gW4yAjEoWG,0
"02-May-22 20:15 बजे तक 50% दैनिक डेटा कोटा खर्च हो चुका है ।
जियो नंबर : 6280368198
प्लान के अनुसार कुल दैनिक डेटा : 1.50 GB
अपने जियो अकाउंट को कैसे मैनेज करें के बारे में अधिक जानने के लिए क्लिक करें https://youtu.be/vrNnGqFhqZM
वर्तमान बैलेंस, वैधता, प्लान विवरण और आकर्षक रीचार्ज प्लान के बारे में जानने के लिए 1991 डायल करें ।",0
"<#>9627 is your Mitra verification code. Please do not share this with anyone.

jOvA6R6o+OI",0
"<#>3419 is your Mitra verification code. Please do not share this with anyone.

jOvA6R6o+OI",0
<#> Shadowfax Id is 153900024 6gW4yAjEoWG,0
"NEXTBILLION TECHNOLOGY PRIVATE on 02-apr-2022 reported your Fund bal Rs.0.67 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",0
"Dear members, your gift for this month's event has been distributed, and you can get up to 80000rs, please click to receive https://3pattiparty.com/ -XPROSPER",0
Payday offer valid till 5th May on Gamezy. Upto 50% bonus & 4% Instant Cash on add cash of Rs.2500 or more. Check the app for more details. gamezy://app/game/#/payment,0
Your VPA 6280368198@ybl linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.3500.00 and credited to 7082282508@ybl (UPI Ref no 212287937861).-Indian Bank,1
"Hey sanju, FREE entry worth Rs.25 to join KOL vs RR expires soon! Join NOW & win big: dream11.com/leagues - Dream11",0
"Dear 62803681XX,
KOL vs RAJ, T20 Match is live on My11circle.
Prize Pool - 4,25,00,000 (4.25Crores)
Entry Fee - 49
Click - http://1kx.in/OI8z3rWi9dM",0
Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.40.00 and credited to paytmqr281005050101xo2pulse786j@paytm (UPI Ref no 212237512625).-Indian Bank,1
Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.140.00 and credited to paytmqr2810050501011qqwqzri7jbc@paytm (UPI Ref no 212237450539).-Indian Bank,1
"You are empowered, surprise someone by paying their bill or help someone by recharging for them . All this and more by downloading Vi App . ",0
Service of your Maruti Suzuki car is overdue. Please get service as per Schedule to keep enjoying benefits of Warranty. For Appt. call CM Autos 9915003004,0
"Hi there, SUNSATIONAL NEWS: Nykaa Summer Super Saver Days PRICES REVEALED! Add all these never seen before deals to Pink Box NOW to beat the queue bit.ly/3vZY9QT",0
"02-May-22 01:07 बजे तक 50% दैनिक डेटा कोटा खर्च हो चुका है ।
जियो नंबर : 6280368198
प्लान के अनुसार कुल दैनिक डेटा : 1.50 GB
अपने जियो अकाउंट को कैसे मैनेज करें के बारे में अधिक जानने के लिए क्लिक करें https://youtu.be/vrNnGqFhqZM
वर्तमान बैलेंस, वैधता, प्लान विवरण और आकर्षक रीचार्ज प्लान के बारे में जानने के लिए 1991 डायल करें ।",0
"50% Daily Data quota used as on 02-May-22 01:07.
Jio Number : 6280368198
Daily Data quota as per plan : 1.50 GB
To know more on how to manage your account through MyJio app, click https://youtu.be/tchuJvIv_9I
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",0
<#> Shadowfax Id is 153762679 6gW4yAjEoWG,0
Signup on MPL today and get an instant reward upto Rs 50. SIGNUP CODE : MPLLUDOAPRIL1 - bit.ly/3uZVlE6,0
Payday offer valid till 5th May on Gamezy. Upto 50% bonus & 4% Instant Cash on add cash of Rs.2500 or more. Check the app for more details. gamezy://app/game/#/payment,0
"5PAISA CAPITAL at EOD 09/04/2022 reported your Fund bal Rs -147.710 & Securities bal 0. This excludes your Bank, DP and PMS bal with the broker-BSE",0
Congrats! You have received complimentary 6-month subscription to ad-free music with unlimited downloads! Claim NOW https://bit.ly/3fKFhgV,0
"Dear, ₹10 Lakhs + MG Hector 1st Prize for HYD vs CHE T20 Match on My11Circle!

1. Register for FREE
2. Make A Fantasy Team
3. Get ₹1500 on first add cash*

Link: 
👉 http://1Rp.in/QVdYO

*TnC",0
<#> Shadowfax Id is 153673779 6gW4yAjEoWG,0
"You have initiated the registration for UPI payments on PhonePe. If this is not you, please report it to your bank immediately to avoid any loss of money.",0
Dear sanju. You have successfully registered your PhonePe account on this device.,0
04383 is your one time password to proceed on PhonePe. It is valid for 10 minutes. Do not share your OTP with anyone. XC1xEZ+TDtj,0
60267 is your one time password to proceed on PhonePe. It is valid for 10 minutes. Do not share your OTP with anyone.,0
"बधाई हो,अपने रम्मी खाते में 2000 बोनस प्राप्त करें w2d.me/61h453",0
Your VPA 6280368198@paytm linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.500.00 and credited to zomatomediaprivatelimited.rzp@sbi (UPI Ref no 212118534601).-Indian Bank,1
"Alert: Beware of fraudsters sending SMS citing your SIM block/suspension/KYC/Document verification pending. DO NOT CALL BACK as they may ask you to download Apps to access your mobile phone and may get confidential information including OTP.Do not respond to SMS from unknown numbers, asking for such information other than from our official SMS ID- ViCARE.Avoid falling victim to such frauds, block these numbers and report to https://cybercrime.gov.in
",0
"01-May-22 00:41 बजे तक 50% दैनिक डेटा कोटा खर्च हो चुका है ।
जियो नंबर : 6280368198
प्लान के अनुसार कुल दैनिक डेटा : 1.50 GB
अपने जियो अकाउंट को कैसे मैनेज करें के बारे में अधिक जानने के लिए क्लिक करें https://youtu.be/vrNnGqFhqZM
वर्तमान बैलेंस, वैधता, प्लान विवरण और आकर्षक रीचार्ज प्लान के बारे में जानने के लिए 1991 डायल करें ।",0
"50% Daily Data quota used as on 01-May-22 00:41.
Jio Number : 6280368198
Daily Data quota as per plan : 1.50 GB
To know more on how to manage your account through MyJio app, click https://youtu.be/tchuJvIv_9I
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",0
Your Swiggy order #134419877174 has been cancelled. You will be charged a cancellation fee of Rs 168.0 which will be payable on your next order.,0
Your a/c. XXXX4658 is credited by Rs. 50.00 on 01-05-22 by a/c linked to mobile 9XXXXXX999 (IMPS Ref no. 212100011920). -IndianBank,1
Your Swiggy order #134418809661 has been cancelled.,0
Use OTP 292931 to log into your Swiggy account. Do not share the OTP or your number with anyone including Swiggy personnel!,0
<#> 5556 is your Zomato verification code. Enjoy :-) AlOe4TVDpqm,0
"your remaining balance is58477, please click for withdrawal  https://3pattiparty.com/  -XPROTR",0
Chaye wale ke pas aaja,0
"Active Covid cases rise to 16,980, heat wave in India breaks records. Stay updated with LIVE news on Vi app. Click https://bit.ly/Vi-app3",0
"Dear, ₹10 Lakhs + MG Hector 1st Prize for MUM vs RAJ T20 Match on My11Circle!

1. Register for FREE
2. Make A Fantasy Team
3. Get ₹1500 on first add cash*

Link: 
👉 http://9gm.in/my11C

*TnC",0
"NEXTBILLION TECHNOLOGY at EOD 09/04/2022 reported your Fund bal Rs 0.670 & Securities bal 0. This excludes your Bank, DP and PMS bal with the broker-BSE",0
Payday offer valid till 5th May on Gamezy. Upto 50% bonus & 4% Instant Cash on add cash of Rs.2500 or more. Check the app for more details. gamezy://app/game/#/payment,0
London Files - Arjun Rampal's greatest performance yet! Catch this thriller on Vi Movies & TV app! Just click here - https://bit.ly/ViMovies_Series.,0
"Dear Cust, your EMI for HDB Loan a/c 22368264 is due on 2nd May 22 Pls keep your bank a/c funded at least 1 day prior the due date to avoid charges.",0
"Redcliffe Labs Offer

Get Full Body checkup with 81 Tests at Rs 399 Liver Kidney CBC Lipid Urine

Home Sample Collection

Call 9289090604

bit.ly/38C7nuo",0
"Dear Customer, OTP TO INITIATE E-MANDATE SBI REQUEST ID TM2212029597801 OF RS. 500000.00 IN A/C NO. XXXX1899 IS 99767636. DO NOT SHARE IT WITH ANYONE. -SBI",0
"Dear Customer, OTP TO INITIATE E-MANDATE SBI REQUEST ID TM2212029596200 OF RS. 500000.00 IN A/C NO. XXXX1899 IS 85734289. DO NOT SHARE IT WITH ANYONE. -SBI",0
"Hi, it's been LEAKED! Shh..check out the sale prices of our bestsellers & add to Pink Box NOW. Nykaa Summer Super Saver Days start 3rd May. Hurry bit.ly/3EZop1G",0
"Dear Saroj, You are eligible and may avail precaution dose at private vaccination center only after 21-04-2022. Please visit cowin.gov.in  CoWIN",0
"29-Apr-22 23:40 बजे तक 50% दैनिक डेटा कोटा खर्च हो चुका है ।
जियो नंबर : 6280368198
प्लान के अनुसार कुल दैनिक डेटा : 1.50 GB
अपने जियो अकाउंट को कैसे मैनेज करें के बारे में अधिक जानने के लिए क्लिक करें https://youtu.be/vrNnGqFhqZM
वर्तमान बैलेंस, वैधता, प्लान विवरण और आकर्षक रीचार्ज प्लान के बारे में जानने के लिए 1991 डायल करें ।",0
"50% Daily Data quota used as on 29-Apr-22 23:40.
Jio Number : 6280368198
Daily Data quota as per plan : 1.50 GB
To know more on how to manage your account through MyJio app, click https://youtu.be/tchuJvIv_9I
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",0
<#> Shadowfax Id is 153419736 6gW4yAjEoWG,0
"Dear SBI Customer, Mini Statement taken from A/cX1899 at SBI ATM S5NE050949621 on 29Apr22. Transaction Number 202. If not done by you, forward this SMS to 9223008333 / call 1800111109 or 09449112211 to block your card. Download YONO SBI. Please use SBI ATMs for better security.",0
"Dear SBI Customer, PIN CHANGE was done successfully for the card X8981 at ATM S5NE050949621 on 29-Apr-2022. Transaction Number 201. If not done by you, send BLOCK <last 4 digit of card> to 567676 or call 1800111109 or 09449112211 to block your card. Use SBI ATMs for better security.",0
"Dear SBI Customer, transaction dated 29-Apr-22 19:34:56 through card ending 8981 has been declined due to Do PIN change.",0
CAUTION! Do not share this message. Your One Time PIN for Debit Card ending 8981 is Two Four One One. Set your new PIN within 24 hrs through Banking -- PIN Change option at any SBI ATM. Download YONO @ www.yonosbi.com.-SBI,0
Your Mitra Rewards of Rs. 572.1 by Vahan Technologies India Priva is successful in your account. The UTR for reference is,1
"892180 is the OTP for payout link of INR 572.10 from RazorpayX account Vahan Technologies India Priva. OTP is valid till 19:30:23.000 IST. Do not share with anyone.
@payout-links.razorpay.com #892180",0
"<#>6296 is your Mitra verification code. Please do not share this with anyone.

jOvA6R6o+OI",0
"A Big Thank you for being our esteem customer for long time. We had closed our Chandigarh workshop (130). Please visit us at Maruti Arena and Nexa Service workshop in Mohali for same experience. Looking forward to serve you.
Call: 9915003004 CM Auto sales 
Location: https://bit.ly/3zPT672",0
"Dear SBI Customer, transaction dated 29-Apr-22 15:23:25 through card ending 8981 has been declined due to PIN TRIES EXCEEDED.",0
"Dear SBI Customer, transaction dated 29-Apr-22 15:19:25 through card ending 8981 has been declined due to PIN TRIES EXCEEDED.",0
"Dear SBI Customer, transaction dated 29-Apr-22 15:12:27 through card ending 8981 has been declined due to INCORRECT PIN.",0
"Dear SBI Customer, transaction dated 29-Apr-22 15:11:15 through card ending 8981 has been declined due to INCORRECT PIN.",0
"Dear Customer, OTP TO INITIATE E-MANDATE SBI REQUEST ID TM2211929530542 OF RS. 500000.00 IN A/C NO. XXXX1899 IS 62761129. DO NOT SHARE IT WITH ANYONE. -SBI",0
"Dear Customer, OTP TO INITIATE E-MANDATE SBI REQUEST ID TM2211929530101 OF RS. 500000.00 IN A/C NO. XXXX1899 IS 27158351. DO NOT SHARE IT WITH ANYONE. -SBI",0
"Delivery Job In Swiggy
Earn uptoRs 3000 To 7000 Weekly
Petrol Incentive Rs 200 To 400 Weekly (for Bikers)
Joining & Referral BonusRs 2000 JB & 4000 RB Apr'2022
For Joining: shorturl.at/kqtB2
Call:Swiggy Office",0
"Non - Stop gaming, now on Vi! Explore our new and exciting games for free, click here to start playing - https://bit.ly/Vi_Free_Games",0
"Sell Your Car now at CARS24
and get Best Car price.
Give Misscall
9319283992
& Book Car Inspection at Your Home. https://bit.ly/3iX1iKV",0
Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.110.00 and credited to paytmqr2810050501011j3q7jqza65z@paytm (UPI Ref no 211836982123).-Indian Bank,1
Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.15.00 and credited to euronetgpay.pay@icici (UPI Ref no 211830447400).-Indian Bank,1
"Hey you, Victoria's Secret has just launched & we have some super exciting deals - Buy1Get1, Flat 30% off on EDPs and much more. Rush to Nykaa! 1kx.in/48O4Yq",0
Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.20.00 and credited to rajeshwar7500-1@okhdfcbank (UPI Ref no 211834266117).-Indian Bank,1
Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.20.00 and credited to paytmqr2810050501011hde0r7uwpt1@paytm (UPI Ref no 211834069825).-Indian Bank,1
"<#>4996 is your Mitra verification code. Please do not share this with anyone.

jOvA6R6o+OI",0
Just deliver it to warden,0
Warden aari h,0
Aap warden ko dedo,0
"Dear Customer, +917973045759 is now available to take calls.",0
"28-Apr-22 19:30 बजे तक दैनिक 1.50 GB डेटा कोटा का 100% उपयोग किया जा चुका है ।
जियो नंबर : 6280368198
दैनिक हाइ-स्पीड डेटा कोटा 29-Apr-22 01:19 बजे फिर से बहाल हो जाएगा ।
यह जानने के लिए कि आपने अपने डेटा कोटा का उपयोग कहाँ किया है , क्लिक करें http://tiny1.jio.com/HelpfulTips",0
"100% of daily 1.50 GB data quota exhausted as on 28-Apr-22 19:30. Jio Number : 6280368198 Daily high speed data quota will be restored on 29-Apr-22 01:19.
To know where you have consumed your data quota, click http://tiny1.jio.com/HelpfulTips",0
"Recharge of Rs. 15.0 is successful for your Jio number 6280368198.
Entitlement: Benefits: Unlimited Data (1GB High Speed Data, thereafter unlimited at 64Kbps). Validity: Base Plans validity
Transaction ID: 30002160230062
To view details of your current and upcoming plan, click https://www.jio.com/dl/my_plans
To share your recharge experience, click https://www.jio.com/en-in/jio-rech-exp-survey?custid=30002160230062
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",0
"आपके जियो नंबर 6280368198 पर Rs. 15.0 का रिचार्ज सफलतापूर्वक हो गया है।
इस रिचार्ज मे आपको मिलता है : Benefits: Unlimited Data (1GB High Speed Data, thereafter unlimited at 64Kbps). Validity: Base Plans validity
ट्राँज़ैक्शन आईडी : 30002160230062
अपने मौजूदा और आगामी प्लान के बारे में जानने के लिये क्लिक करें : https://www.jio.com/dl/my_plans
रीचार्ज का अपना अनुभव शेयर करने के लिए क्लिक करें https://www.jio.com/en-in/jio-rech-exp-survey-hindi?custid=30002160230062
अपना मौजूदा बैलेंस, वैधता, प्लान की जानकारी और आकर्षक रिचार्ज प्लान के बारे में जानने के लिये 1991 पर कॉल करें।",0
"28-Apr-22 16:37 बजे तक 90% दैनिक डेटा कोटा खर्च हो चुका है ।
जियो नंबर : 6280368198
प्लान के अनुसार कुल दैनिक डेटा : 1.50 GB
अपने डेटा कोटा को और भी बेहतर तरीक़े से मैनेज करने के लिए क्लिक करें - https://youtu.be/hnMRgnS6rJE
यदि आपके पास कोई अन्य डेटा प्लान नहीं है तो आपकी इंटरनेट स्पीड 1.50 GB के खर्च होते ही घटा दी जाएगी ।
हाई-स्पीड इंटरनेट का आनंद लेना जारी रखने के लिए https://www.jio.com/dl/data_voucher पर क्लिक करके रिचार्ज करें ।
वर्तमान बैलेंस, वैधता, प्लान विवरण और आकर्षक रीचार्ज प्लान के बारे में जानने के लिए 1991 डायल करें ।",0
"90% daily data quota used as on 28-Apr-22 16:37.
Jio Number : 6280368198
For tips on how to manage data quota effectively, click https://youtu.be/ZFUDydctV78
If you do not have any other data plan, your internet speed will be reduced on consumption of 1.50 GB.
To continue enjoying high speed internet, click https://www.jio.com/dl/data_voucher and recharge.
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",0
"Hey sanju,
FREE entry worth Rs.25 to join DC vs KOL expires soon! Join NOW & win big: dream11.com/leagues - Dream11",0
Your VPA sanju39chd@okaxis linked to Indian Bank a/c no. XXXXXX4658 is debited for Rs.50.00 and credited to paytmqr2810050501011qqwqzri7jbc@paytm (UPI Ref no 211828033232).-Indian Bank,1
"28-Apr-22 14:15 बजे तक 50% दैनिक डेटा कोटा खर्च हो चुका है ।
जियो नंबर : 6280368198
प्लान के अनुसार कुल दैनिक डेटा : 1.50 GB
अपने जियो अकाउंट को कैसे मैनेज करें के बारे में अधिक जानने के लिए क्लिक करें https://youtu.be/vrNnGqFhqZM
वर्तमान बैलेंस, वैधता, प्लान विवरण और आकर्षक रीचार्ज प्लान के बारे में जानने के लिए 1991 डायल करें ।",0
"50% Daily Data quota used as on 28-Apr-22 14:15.
Jio Number : 6280368198
Daily Data quota as per plan : 1.50 GB
To know more on how to manage your account through MyJio app, click https://youtu.be/tchuJvIv_9I
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",0
"Get easy access to all you need! Activate International Roaming pack , Stream ad-free music, play free games, download & pay bills, recharge, activate ‘DND’, enjoy exclusive offers & more. To download, click https://bit.ly/37N4Mxe. ",0
"We wish to inform your Bajaj Finance Insta EMI Card offer is revised, No cost EMI's upto 24 months & limit upto 2 lacs. Get it Now https://eej.at/Hq8nouhy",0
"Hello, inDriver is coming soon to Mumbai, tell your friends in Mumbai to download inDriver app to earn more with 0% service payment.
Share link with friends: indriver.onelink.me/lhG6/n8kpmy1b Thank you for being in inDriver family",0
Your policy MJ774147 is expiring on 19-MAY-2022 To renew click itgi.in/AXad2b. or call us at 18001035499 or give us missed call at 01244879451 IFFCO TOKIO GIC,0
"Your Stock broker NEXTBILLION TECHNOLOGY PRIVATE LIMITED. reported your fund balance Rs.0.67 & securities balance 0 as on end of 26-mar-2022. Balances do not cover your bank, DP & PMS balance with broking entity. Check details at ssk362861@gmail.com. If email Id not correct, kindly update with your broker - National Stock Exchange",0
"28-Apr-22 00:18 बजे तक दैनिक 1.50 GB डेटा कोटा का 100% उपयोग किया जा चुका है ।
जियो नंबर : 6280368198
दैनिक हाइ-स्पीड डेटा कोटा 28-Apr-22 01:19 बजे फिर से बहाल हो जाएगा ।
यह जानने के लिए कि आपने अपने डेटा कोटा का उपयोग कहाँ किया है , क्लिक करें http://tiny1.jio.com/HelpfulTips",0
"100% of daily 1.50 GB data quota exhausted as on 28-Apr-22 00:18. Jio Number : 6280368198 Daily high speed data quota will be restored on 28-Apr-22 01:19.
To know where you have consumed your data quota, click http://tiny1.jio.com/HelpfulTips",0
"90% daily data quota used as on 27-Apr-22 23:44.
Jio Number : 6280368198
For tips on how to manage data quota effectively, click https://youtu.be/ZFUDydctV78
If you do not have any other data plan, your internet speed will be reduced on consumption of 1.50 GB.
To continue enjoying high speed internet, click https://www.jio.com/dl/data_voucher and recharge.
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",0
